,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
316,2299290348,Ciclismo al anochecer,2019-04-07T18:07:52Z,Ride,28744.0,3639,3745,61.0,"[52.232303, 5.191326]",file.fit
317,2299290392,Entrenamiento a la hora del almuerzo,2019-04-07T12:28:57Z,Ride,28664.0,3188,3272,269.0,"[52.371625, 4.937252]",file.fit
318,2299290374,Carrera de noche,2019-04-05T18:44:00Z,Run,9900.0,2562,2583,86.0,"[52.21298, 5.189518]",file.fit
319,2264437595,Carrera de tarde,2019-04-02T17:22:42Z,Run,9946.0,2670,2670,0,,file.fit
320,2264437984,Ciclismo por la mañana,2019-03-31T09:24:25Z,Ride,90296.0,11429,12696,193.0,"[52.371845, 4.937891]",file.fit
321,2264439634,Ciclismo por la mañana,2019-03-30T10:40:12Z,Ride,49174.0,7206,11199,79.0,"[52.371938, 4.937885]",file.fit
322,2264439566,Carrera de tarde,2019-03-29T15:37:19Z,Run,10050.0,2137,2364,91.6,"[52.213225, 5.188994]",file.fit
323,2264439434,Carrera de noche,2019-03-28T18:32:13Z,Run,9515.0,2703,2907,60.0,"[52.212926, 5.182025]",file.fit
324,2264439882,Carrera de tarde,2019-03-27T13:12:45Z,Run,10029.0,2444,2499,86.0,"[52.213616, 5.188734]",file.fit
325,2264439943,Entrenamiento a la hora del almuerzo,2019-03-23T12:07:39Z,Ride,83009.0,10354,12003,230.0,"[52.371903, 4.937895]",file.fit
326,2264439370,Carrera a la hora del almuerzo,2019-03-22T12:47:16Z,Run,10009.0,2307,2326,57.0,"[52.21509, 5.187466]",file.fit
327,2264439848,Carrera de tarde,2019-03-19T17:50:05Z,Run,5810.0,1595,1916,39.0,"[52.213185, 5.189766]",file.fit
328,2264439461,Carrera de noche,2019-03-18T18:08:01Z,Run,7271.0,1998,2602,66.0,"[52.213068, 5.189152]",file.fit
329,2264439839,Ciclismo por la tarde,2019-03-17T13:35:13Z,Ride,29013.5,4146,4200,386.6,"[52.371946, 4.937248]",file.fit
330,2264439870,Entrenamiento a la hora del almuerzo,2019-03-17T11:31:17Z,Ride,25927.0,3141,3509,87.6,"[52.23249, 5.193071]",file.fit
331,2264439761,Ciclismo por la mañana,2019-03-17T10:24:40Z,Ride,0.0,365,365,0,,file.fit
332,2264439515,Carrera de noche,2019-03-16T18:06:14Z,Run,10046.0,2608,2700,104.8,"[52.371917, 4.937896]",file.fit
333,2264441120,Carrera de noche,2019-03-14T18:11:49Z,Run,10128.0,2520,2527,65.8,"[52.213066, 5.188963]",file.fit
334,2264441356,Carrera a la hora del almuerzo,2019-03-05T12:27:43Z,Run,10053.0,2295,2337,55.0,"[52.214929, 5.182876]",file.fit
335,2264441696,Carrera de tarde,2019-03-04T17:29:29Z,Run,10.0,1219,1219,0,,file.fit
336,2264441556,Carrera a la hora del almuerzo,2019-02-28T12:12:50Z,Run,4154.0,1139,1334,10.0,"[52.213372, 5.190396]",file.fit
337,2264441340,Carrera a la hora del almuerzo,2019-02-26T12:26:06Z,Run,10021.0,2340,2366,66.4,"[52.213082, 5.18899]",file.fit
338,2264441943,Carrera a la hora del almuerzo,2019-02-19T12:22:59Z,Run,4841.0,1184,1361,51.0,"[52.213824, 5.189649]",file.fit
339,2264441837,Carrera a la hora del almuerzo,2019-02-17T11:50:57Z,Run,8591.0,2338,2415,67.0,"[52.371107, 4.93714]",file.fit
340,2264441266,Carrera de tarde,2019-02-15T15:06:01Z,Run,5772.5,1530,1968,37.0,"[52.213324, 5.189732]",file.fit
341,2264441894,Carrera a la hora del almuerzo,2019-02-11T11:33:24Z,Run,8410.0,2248,2248,0,,file.fit
342,2264441748,Carrera a la hora del almuerzo,2019-02-09T12:31:52Z,Run,9463.0,2703,2761,277.0,"[52.371053, 4.937114]",file.fit
343,2264441892,Carrera a la hora del almuerzo,2019-02-07T12:25:09Z,Run,9720.0,2783,2903,188.0,"[52.371002, 4.937262]",file.fit
344,2264441644,Carrera de tarde,2019-02-06T15:51:39Z,Run,7722.0,2134,2263,48.0,"[52.371895, 4.937302]",file.fit
345,2264441591,Carrera a la hora del almuerzo,2019-02-04T11:24:10Z,Run,8934.0,2367,2367,0,,file.fit
346,2264441691,Entrenamiento a la hora del almuerzo,2019-02-03T12:41:05Z,Ride,67243.0,9871,12354,289.6,"[52.371906, 4.937827]",file.fit
